user_id,spotify_id
1735,1GtPWIvZN0uXjki01eVmn4
2014,1X2u7UdaEUMXrclYiEwago
1724,7tiOyhvxRgmYnPfxYgm0kX
1763,358aVgId2jUiL2HnPZa76q
396445,6EdDSCSSZ6jFFsA2261XF6
1608,6yhdXKaYQgxgfahKbgl4RR
1672,2dGqSVZSyxJpLWtWRkm7Ba
387086,1pxPVd1PEM1vMXzhnsTpTR
1817,0kqz7XXvCnxDLku3AfGnc2
2104,4fVhKwOGUGp4JHdGMgcyrF
424180,0HuG6o6n1v3wospcfYWGhr
2317,2JUc1cR8rgn9avSuPIKQaZ
303727,401NM4m2Jvdjk0jH0B9YgL
461356,5b48FOicr3F7OIv9OUFWax
2433,4Xv5XsKbSQAwmV2O9Vs7Hq
345355,4KqX4CgO5zN5mWPD7AJL8A
2471,6OHc51RMfe9Bq0fpOzQ2mZ
2658,75Up6LdWwOKmrHwDILwdwz
2386,4gbunsrSE2j10t2pXb6PQ8
2252,6LS4JmJblcTdQwJ7mi1h5O
2530,3rn0SsWx0bLFVuVNaaB4W0
2520,5anVfrywTFHNn6ZaDTVhnm
2794,63vMehdxxRWq9HBZHskapk
2679,5A9mROBjRdGLzz0kgb56Za
2698,52TzXij49t18j1k8eHD9Pg
2725,5eYDxNdq1HD6iZj1NNLGZC
2927,0bXTDtXzZO4QYEj3sDEsZk
2810,7qT34GM4Jx9oWg9kkU0ZvA
451950,0P67TAOO0GVonby7kuMdqh
8951,0VMAdzgCpp7hyNoboELXxn
160544,7lgSXbNNOyqXWK2uWqvrm5
2586,6gvKbL0lnnnc6MFAfzWjL6
2529,1vcVRd3LEXW2sEvpF3OTgI
2370,3anxnw1voh3B3wHyHujYUw
2877,2h5FjUixpBfZedws9Y8cnS
2357,16zLlvBYTQvgDHu4zOoa5B
2678,4jEG2lTc6lDIfimnB97szL
2718,03dBXWmKoA3VzetZPZFZGT
2537,5iDIPw4XISqyFqD817n4iL
2531,0ChUTSO3tfQSVKMOpWkCJy
2314,2i1Sm6KCGynVL4RRFo1fr7
2630,5jvx3xT9YR3YkWfa3t90CN
2634,1oo0rHqv4XGxiRuJUq8sqR
2360,5w7m5LI6GtwNj4hZgrxTUU
387088,73QVM90rIfDCssm0CL7v4c
3550,2qR0Z9tF5eXGAyZFWQWtOm
3127,0CtbEQRf5QgHb89JgCl95n
3052,755qcYfk1Hll6a4mUCHQXE
3115,73gfd3OeRub99Q0c6JVHaH
3215,65nQGOdqbkox5SnGne15ml
3016,0SdHkxit1Wk6CVE4T9Wjdj
1950,4KciVMCX2pCUJRiQRoNay6
3391,0543l4fbTadrgOD38MOJbF
484613,7y9SCpdt41FXIWaXXYsWKJ
3108,05sQfEuyWaIKsxULRlG3A2
1994,5BKC1I2a4lSYyZ1swMzPOD
3432,6jZ6HhIwC1CNbkfJqvmY7G
3386,4HorWR9JWxVfh2MnvEwLSx
3203,0ZVv0p5Umc0rz7lZF7LUNj
3635,2nTy0E9Ee5PLLnXUZOT64X
3407,0IKPfKkoKDbdQTKX0LCFZB
3466,27IZvjSWu2HQiayLrzWqpN
3241,4nQnh8HPJQIw8hc6dUsRnB
3523,6yeeXqk3RxV7l5DxmlXMnw
3323,3NRe8rQ57HY4nsmfMN0dPW
3138,1M2Uahre4aSlQbVzS6YC0b
3424,2DDy52aHFOw23JIV7I2pPH
3362,0zkDd6rJTI9JTTT77pS6wv
3711,1perT2XEbJLRmXa6F9JUPe
3560,0FSc1VcYTT0NQ5u9f5Hmpk
363971,1hM5rICjqAz92XJHKDuiCg
3906,519wEA8Ue7QDEdDn1uicMt
3588,35J4N45QrykRiM4pZjP7CF
285182,49YOQQyomao44SSBXsv7Dd
3823,0ltydYnEjNGG9VUmnvdSRJ
322294,68muZlHFoo6eQf8FMChxRi
3779,1tnvYxvPpqRF9GQQ30BhBG
4060,52AfaicuXLETFcDVSHRGxl
169820,6eYSoGe5Errap1gFekKYEM
682,6lB2yjLUh1jtl5nm7Ddhnj
4161,01iBYoUzhKZLQAGRDF0L9U
160547,3tAxJ27FaSMouM3raeZBM3
3937,7sv8qyvKTtEdZm2N44o3CI
3589,2nZaFyxJLsdUPTcdMTlhLs
4096,3UKeJqND3iyFxGOUPLq9Be
151260,0GjhyegraSYBcCUdJv7onb
387089,7KAB1oEXcbgq6VEBYwZFXZ
3802,4Qi64bmnT9ASAMQCZKmCex
3946,06XE6owWsrgqBiLd9nGej9
4014,16NfZBJxDfPQXRUNI9sG8k
303729,77jJpoADdVKNvXJdCIHM79
3950,3RdntEBS5ebYf8G7M0sy8r
3844,2EtksajEPOMDkyVKMZi1eO
4144,241TzckH4cW2MAldJa8uG1
3580,3qEnCAnX23lvoxZYtBiPgL
4145,4Nt0LN4O0o6tbxxkyTNSPO
4236,1OOqRDxjjXJZaHjgliZaHc
4408,6LQqv1QMN70snvCaf1wttc
4293,1njbPRXm0HlxMRwXDB5pC9
4336,5ZOSFruOF37CZzX6iQi9tU
424183,0b1SxzzlZkP6yjeF3uYOpu
4314,3VHN6qLpKy1yuMiKM7L1jX
4326,6WJ7Xun1GGYF04EGDsFRSG
4317,40irb67rN0j7OQXBFCLOCj
4722,6x8OPrp4TTHBZBXldaFv2w
4701,1cTINVmi2me8JBpCwR2K16
4419,6awgjbEndbfu3IpwqKhIFo
4591,5stuKbnOhAaaT3ZxKMszQu
4269,7tYjk2vuV96DmlpEHLlw05
4406,5GfcADEzHtONKGcRazL2UF
4412,0Gta4UtwE2podm3d4NCGle
4528,5E2ZhCLeMgxn7Pzr00YmY7
363970,1Uv9lCgqzsYNN3PB1wcN2a
4275,2ofkZJlBmDBdz6ZwLIDcSV
4194,6mUsP11CHMSNKtThGbaEXa
4350,64XqdWjtYhfMJeQB7wtAwS
5065,50SavT0OP2alr20U1t2dkk
5154,6KTll8hAkxDx79G84GHKkU
5116,2cVX2nvsh5p85RQvWE9gJc
5132,1leUdTmVH8GDaAQIqhvq7r
4876,4Z63ecu9ZjtVVsIuuOfua3
5130,39eH83953UVQTexGHkTBe1
4715,6iFmzXMBX8z3Egytb0JRii
4745,4dyrTfFkayGPgTnq1D0v4V
4681,1hvhL55DCI1br7UzSGg7uh
4775,1ao01riUkSOFRTy05WRQta
5135,0HhcWje1AnKuZOK1YPXxeD
303730,64gG1e8J6totCWNJ4TEXjY
424184,0XspgVqwyWdHzaGVP91Skt
396450,2DJCEfyeAnp6xXTbWwahF1
4931,2CtiNJi0zB35RHYXViVjKG
24340,5X9jWrjU2FVZG26e6LjJTn
5056,4clYvo5vtpEnp6ibDxg16G
4742,4g20Iyd4H5lWbsJc3DhvcL
160548,4v3WlMzUKokDJEpdfru5af
5241,74fyMHfiiuQGsbkKxuItt2
5077,5TztG8UlidyWr5gcdHho1l
294458,3xnJQYhCQbGqlMsyaHJKTZ
5237,1Vmptq7NZIheD1VkahWWSv
5137,0eHY5jLP9TgzxYhT19Sqyq
5099,0F0zd1skQ1Fr4QwFJ01825
438058,6LcHiwohDepqe1o7TSYQvA
5432,6VX0JdAybG05A8AtuPYLwN
5652,1DZoKOfDN7ONcLgAm5jYPy
5605,6EJdjYrpky6PjZrHdtGnHE
